ranking,School,Location,median VCE Score,VCE 40+ %
,,,,
1,Victorian College for the Deaf,Melbourne,42,60
,,,,
2,Ballarat Clarendon College,Ballarat,39,45
,,,,
3,Bialik College,Hawthorn East,39,44.3
,,,,
4,Mount Scopus Memorial College,Burwood,38,37.4
,,,,
5,Mallacoota P-12 College,Mallacoota,38,30
,,,,
6,Huntingtower School,Mount Waverley,37,33.2
,,,,
7,Macrobertson Girls High School,Melbourne,37,30.2
,,,,
8,Korowa Anglican Girls School,Glen Iris,37,29.7
,,,,
9,Ruyton Girls School,Kew,36,32.2
,,,,
10,Haileybury Girls College,Keysborough,36,30.6
,,,,
11,Beth Rivkah Ladies College,St Kilda East,36,30.5
,,,,
12,Camberwell Girls Grammar School,Canterbury,36,29.8
,,,,
13,Melbourne High School,South Yarra,36,29.4
,,,,
14,Haileybury College,Keysborough,36,29.2
,,,,
15,Strathcona Baptist Girls Grammar School,Canterbury,36,27.9
,,,,
16,St Kevins College,Toorak,36,27.5
,,,,
17,Loreto Mandeville Hall,Toorak,36,26.7
,,,,
18,Trinity Grammar School,Kew,36,26.1
,,,,
19,Shelford Girls Grammar,Caulfield,36,25
,,,,
20,Firbank Grammar School,Brighton,36,24.1
,,,,
21,Kilvington Grammar School,Ormond,36,23.8
,,,,
22,The King David School,Armadale,36,21
,,,,
23,Yeshivah College,St Kilda East,35,28.1
,,,,
24,Scotch College,Hawthorn,35,27.2
,,,,
25,Leibler Yavneh College,Elsternwick,35,26
,,,,
26,Camberwell Grammar School,Canterbury,35,25.9
,,,,
27,Methodist Ladies College,Kew,35,25
,,,,
28,Melbourne Grammar School,Melbourne,35,23.7
,,,,
29,Genazzano F.C.J. College,Kew,35,23.3
,,,,
30,Sacre Coeur,Glen Iris,35,23
,,,,
31,Caulfield Grammar School Caulfield,St Kilda East,35,22.6
,,,,
32,Penleigh and Essendon Grammar School,Keilor East,35,22.5
,,,,
33,Mentone Girls Grammar School,Mentone,35,22.3
,,,,
34,Mentone Grammar School,Mentone,35,22
,,,,
35,Nossal High School,Berwick,35,21.9
,,,,
36,Lauriston Girls School,Armadale,35,21.1
,,,,
37,St Catherines School,Toorak,35,20.2
,,,,
38,Presbyterian Ladies College,Burwood,35,20.1
,,,,
39,Caulfield Grammar School Wheelers Hill,Wheelers Hill,35,19.8
,,,,
40,Star of the Sea College,Gardenvale,35,16.9
,,,,
41,Goroke P-12 College,Goroke,34,25
,,,,
42,Yesodei Hatorah College,Brighton,34,25
,,,,
43,Melbourne Girls Grammar,South Yarra,34,24.6
,,,,
44,Toorak College,Mount Eliza,34,21.8
,,,,
45,Eltham College of Education,Research,34,20
,,,,
46,Lowther Hall Anglican Grammar School,Essendon,34,18.8
,,,,
47,Yarra Valley Grammar School,Ringwood,34,18.8
,,,,
48,Ivanhoe Girls Grammar School,Ivanhoe,34,18.7
,,,,
49,Balwyn High School,Balwyn North,34,18.6
,,,,
50,Fintona Girls School,Balwyn,34,18.2
,,,,
51,East Loddon P-12 College,Dingee,34,17.8
,,,,
52,St Margarets School,Berwick,34,16.7
,,,,
53,Ivanhoe Grammar School,Ivanhoe,34,16.4
,,,,
54,Peninsula Grammar,Mount Eliza,34,16.4
,,,,
55,John Monash Science School,Clayton,34,16.3
,,,,
56,Xavier College,Kew,34,16.2
,,,,
57,Westbourne Grammar School,Truganina,34,15.8
,,,,
58,Suzanne Cory High School,Werribee,34,14.6
,,,,
59,Brighton Grammar School,Brighton,33,18
,,,,
60,Goulburn Valley Grammar School,Shepparton,33,17.5
,,,,
61,Victorian College of the Arts Secondary School,Southbank,33,16.6
,,,,
62,Melbourne Girls College,Richmond,33,16.4
,,,,
63,The Geelong College,Newtown,33,16.3
,,,,
64,McKinnon Secondary College,McKinnon,33,16.1
,,,,
65,Waverley Christian College,Wantirna South,33,15.6
,,,,
66,Wesley College St Kilda Rd,Melbourne,33,15.1
,,,,
67,Box Hill High School,Box Hill,33,14.7
,,,,
68,Ivanhoe Grammar School Plenty,Mernda,33,14.5
,,,,
69,St Leonards College,Brighton East,33,14.4
,,,,
70,Our Lady of Sion College,Box Hill,33,14.2
,,,,
71,Glen Waverley Secondary College,Glen Waverley,33,13.9
,,,,
72,Siena College,Camberwell,33,13.7
,,,,
73,Carey Baptist Grammar School,Kew,33,12.9
,,,,
74,Donvale Christian College,Donvale,33,12.3
,,,,
75,Woodleigh School,Langwarrin South,33,12.3
,,,,
76,Our Lady of Mercy College,Heidelberg,33,11.1
,,,,
77,Ave Maria College,Aberfeldie,33,9.5
,,,,
78,Koonung Secondary College,Mont Albert North,33,9.4
,,,,
79,Nunawading Christian College,Nunawading,33,7.5
,,,,
80,University High School,Parkville,32,14.3
,,,,
81,Alphington Grammar School,Alphington,32,14
,,,,
82,Ballarat Grammar School,Wendouree,32,13.9
,,,,
83,St Michaels Grammar School,St Kilda,32,13.7
,,,,
84,St Pauls Anglican Grammar School,Warragul,32,13.6
,,,,
85,Kardinia International College,Bell Post Hill,32,13
,,,,
86,Kingswood College,Box Hill,32,12.6
,,,,
87,Canterbury Girls Secondary College,Canterbury,32,12.4
,,,,
88,Kew High School,Kew East,32,12.3
,,,,
89,Sacred Heart Girls College,Hughesdale,32,12.2
,,,,
90,Frankston High School,Frankston,32,11.8
,,,,
91,Gippsland Grammar,Sale,32,11.8
,,,,
92,Girton Grammar School,Bendigo,32,11.8
,,,,
93,Sacred Heart College Geelong,Newtown,32,11.6
,,,,
94,Mazenod College,Mulgrave,32,11.2
,,,,
95,St Aloysius College,North Melbourne,32,11
,,,,
96,St Columbas College,Essendon,32,10.5
,,,,
97,Braemar College,Woodend,32,10.4
,,,,
98,Oxley Christian College,Chirnside Park,32,10.4
,,,,
99,Vermont Secondary College,Vermont,32,10.3
,,,,
100,East Doncaster Secondary College,Doncaster East,32,10.2
,,,,
101,Our Lady of Sacred Heart College,Bentleigh,32,10.1
,,,,
102,Princes Hill Secondary College,Carlton North,32,9.9
,,,,
103,Sirius College,Broadmeadows,32,9.4
,,,,
104,Camperdown College,Camperdown,32,8.8
,,,,
105,Avila College,Mount Waverley,32,8.7
,,,,
106,Viewbank College,Viewbank,32,8.6
,,,,
107,Mount Waverley Secondary College,Mount Waverley,32,8.4
,,,,
108,Narre Warren South P-12 College,Narre Warren South,32,8.2
,,,,
109,Luther College,Croydon,32,8.1
,,,,
110,Berwick Grammar School,Officer,32,7.1
,,,,
111,The Knox School,Wantirna South,32,7.1
,,,,
112,Wesley College Glen Waverley,Glen Waverley,32,6.1
,,,,
113,Kings College,Warrnambool,32,4.3
,,,,
114,Southern Cross Grammar,Caroline Springs,32,4.1
,,,,
115,Casterton Secondary College,Casterton,32,0
,,,,
116,Boort District P-12 School,Boort,31,12.5
,,,,
117,Edinburgh College,Lilydale,31,11.8
,,,,
118,St Josephs College Geelong,Newtown,31,11.4
,,,,
119,Mount St Joseph Girls College,Altona,31,10.3
,,,,
120,St Andrews Christian College,Wantirna South,31,10
,,,,
121,Santa Maria College,Northcote,31,9.6
,,,,
122,Emmaus College,Burwood,31,9.3
,,,,
123,Highvale Secondary College,Glen Waverley,31,9.3
,,,,
124,Whitefriars College,Donvale,31,9.3
,,,,
125,Bacchus Marsh Grammar,Bacchus Marsh,31,9.2
,,,,
126,Marian College Myrtleford,Myrtleford,31,9.2
,,,,
127,Albert Park College,Albert Park,31,8.6
,,,,
128,Werribee Secondary College,Werribee,31,8.6
,,,,
129,Williamstown High School,Williamstown,31,8.6
,,,,
130,Parade College,Bundoora,31,8.5
,,,,
131,Tintern Grammar,Ringwood East,31,8.3
,,,,
132,Darul Ulum College of Victoria,Fawkner,31,8.2
,,,,
133,Sirius College Broadmeadows Campus,Broadmeadows,31,8.2
,,,,
134,The Hamilton and Alexandra College,Hamilton,31,8.2
,,,,
135,Billanook College,Mooroolbark,31,8
,,,,
136,Salesian College Chadstone,Chadstone,31,8
,,,,
137,Balcombe Grammar School,Mount Martha,31,7.9
,,,,
138,De La Salle College,Malvern,31,7.8
,,,,
139,Kilbreda College,Mentone,31,7.8
,,,,
140,Marcellin College,Bulleen,31,7.8
,,,,
141,Catholic Ladies College,Eltham,31,7.7
,,,,
142,Loreto College,Ballarat,31,7.4
,,,,
143,Alice Miller School,Macedon,31,7.2
,,,,
144,Academy of Mary Immaculate,Fitzroy,31,7
,,,,
145,Dimboola Memorial Secondary College,Dimboola,31,6.8
,,,,
146,Strathmore Secondary College,Strathmore,31,6.4
,,,,
147,Killester College,Springvale,31,6.2
,,,,
148,Thornbury High School,Thornbury,31,6.2
,,,,
149,Birchip P-12 School,Birchip,31,6.1
,,,,
150,Mater Christi College,Belgrave,31,5.8
,,,,
151,Loyola College,Watsonia,31,5.5
,,,,
152,Myrtleford P-12 College,Myrtleford,31,4
,,,,
153,Wedderburn College,Wedderburn,31,4
,,,,
154,Lighthouse Christian College,Keysborough,31,3.9
,,,,
155,Dromana Secondary College,Dromana,31,3.6
,,,,
156,Tyrrell College,Sea Lake,31,1.7
,,,,
157,Heatherton Christian College,Clarinda,30,13.8
,,,,
158,Elwood College,Elwood,30,12.6
,,,,
159,Sirius College Dandenong Campus,Keysborough,30,11.2
,,,,
160,Lakes Entrance Secondary College,Lakes Entrance,30,10.9
,,,,
161,Covenant College,Bell Post Hill,30,9.5
,,,,
162,Newhaven College,Rhyll,30,9.5
,,,,
163,Glenvale School Vic,Epping,30,9.4
,,,,
164,Presentation College,Windsor,30,9.3
,,,,
165,Casey Grammar School,Cranbourne,30,8.9
,,,,
166,Auburn High School,Hawthorn East,30,8.8
,,,,
167,F.C.J. College,Benalla,30,8.7
,,,,
168,Heathdale Christian College,Werribee,30,8.7
,,,,
169,Northcote High School,Northcote,30,8.3
,,,,
170,Buckley Park College,Essendon,30,8
,,,,
171,Mentone Girls Secondary College,Mentone,30,7.7
,,,,
172,Corryong College,Corryong,30,7.5
,,,,
173,St Bernards College,Essendon,30,7.5
,,,,
174,St Josephs College Mildura,Mildura,30,7.1
,,,,
175,Braybrook College,Braybrook,30,7
,,,,
176,Clonard College,Geelong West,30,7
,,,,
177,Ringwood Secondary College,Ringwood,30,7
,,,,
178,St Bedes College,Mentone,30,6.3
,,,,
179,Saint Ignatius College,Drysdale,30,5.9
,,,,
180,Geelong Grammar School,Corio,30,5.8
,,,,
181,Sandringham College,Sandringham,30,5.8
,,,,
182,Simonds Catholic College,Fitzroy North,30,5.8
,,,,
183,Glen Eira College,Caulfield East,30,5.7
,,,,
184,Lighthouse Christian College Cranbourne,Cranbourne,30,5.7
,,,,
185,Aquinas College,Ringwood,30,5.6
,,,,
186,Camberwell High School,Canterbury,30,5.6
,,,,
187,Maranatha Christian School,Endeavour Hills,30,5.6
,,,,
188,Christian College Geelong Waurun Ponds,Waurn Ponds,30,5.5
,,,,
189,Hume Anglican Grammar,Mickleham,30,5.5
,,,,
190,MacKillop Catholic Regional College,Werribee,30,5.4
,,,,
191,Plenty Valley Christian College,Doreen,30,5.4
,,,,
192,Ilim College,Broadmeadows,30,5.3
,,,,
193,Minaret College,Officer,30,5.1
,,,,
194,Sacred Heart College Kyneton,Kyneton,30,5.1
,,,,
195,Kambrya College,Berwick,30,4.9
,,,,
196,Marymede Catholic College,South Morang,30,4.9
,,,,
197,St Monicas College,Epping,30,4.9
,,,,
198,Beaconhills College,Pakenham,30,4.8
,,,,
199,Eltham High School,Eltham,30,4.8
,,,,
200,Padua College,Mornington,30,4.7
,,,,
201,Parkdale Secondary College,Mordialloc,30,4.6
,,,,
202,St Josephs College Ferntree Gully,Ferntree Gully,30,4.5
,,,,
203,Northside Christian College,Bundoora,30,4.4
,,,,
204,Ashwood High School,Ashwood,30,4.3
,,,,
205,Sunbury Downs Secondary College,Sunbury,30,4.2
,,,,
206,Mercy College,Coburg,30,4
,,,,
207,Marist Sion College,Warragul,30,3.9
,,,,
208,Oakleigh Grammar,Oakleigh,30,3.9
,,,,
209,Good Shepherd College,Hamilton,30,3.8
,,,,
210,Overnewton Anglican College,Keilor,30,3.7
,,,,
211,Cranbourne East Secondary College,Cranbourne East,30,2.1
,,,,
212,Charlton College,Charlton,30,0
,,,,
213,Ballarat Christian College,Sebastopol,29,23.1
,,,,
214,Cohuna Secondary College,Cohuna,29,9.9
,,,,
215,Coburg Senior High School,Coburg,29,9.1
,,,,
216,Catherine McAuley College,Bendigo,29,8.1
,,,,
217,Catholic College Sale,Sale,29,8.1
,,,,
218,Foster Secondary College,Foster,29,7.2
,,,,
219,Cheltenham Secondary College,Cheltenham,29,6.4
,,,,
220,St Francis Xavier College,Beaconsfield,29,6.1
,,,,
221,Templestowe College,Templestowe Lower,29,6
,,,,
222,Blackburn High School,Blackburn,29,5.9
,,,,
223,Nazareth College,Noble Park North,29,5.9
,,,,
224,Brighton Secondary College,Brighton East,29,5.8
,,,,
225,St Patricks College,Ballarat,29,5.7
,,,,
226,Belgrave Heights Christian School,Belgrave Heights,29,5.6
,,,,
227,Footscray City College,Footscray,29,5.6
,,,,
228,Marian College Sunshine West,Sunshine West,29,5.6
,,,,
229,Brentwood Secondary College,Glen Waverley,29,5.5
,,,,
230,Norwood Secondary College,Ringwood,29,5.4
,,,,
231,Brunswick Secondary College,Brunswick,29,5.3
,,,,
232,Korumburra Secondary College,Korumburra,29,5.3
,,,,
233,St Marys Coptic Orthodox College,Coolaroo,29,5.3
,,,,
234,Christian Brothers College,St Kilda East,29,5.2
,,,,
235,Melbourne Rudolf Steiner School,Warranwood,29,5.2
,,,,
236,St Brigids College,Horsham,29,5.2
,,,,
237,Kaniva P-12 College,Kaniva,29,5
,,,,
238,Montmorency Secondary College,Montmorency,29,5
,,,,
239,St Mary MacKillop College,Swan Hill,29,5
,,,,
240,Aitken College,Greenvale,29,4.9
,,,,
241,Rainbow P-12 College,Rainbow,29,4.9
,,,,
242,Wellington Secondary College,Mulgrave,29,4.9
,,,,
243,Flinders Christian Community College,Tyabb,29,4.8
,,,,
244,Chairo Christian School,Drouin,29,4.7
,,,,
245,Hillcrest Christian College,Clyde North,29,4.7
,,,,
246,Galen College,Wangaratta,29,4.5
,,,,
247,Mount Evelyn Christian School,Mount Evelyn,29,4.5
,,,,
248,Beaconhills College Berwick,Berwick,29,4.3
,,,,
249,Emerald Secondary College,Emerald,29,4.3
,,,,
250,St Albans Secondary College,St Albans,29,4.3
,,,,
251,Doncaster Secondary College,Doncaster,29,4.2
,,,,
252,John Paul College,Frankston,29,4.1
,,,,
253,Keilor Downs College,Keilor Downs,29,4.1
,,,,
254,Emmanuel College Melbourne,Altona North,29,4
,,,,
255,Mullauna College,Mitcham,29,4
,,,,
256,Catholic Regional College Sydenham,Sydenham,29,3.9
,,,,
257,Gilson College,Taylors Hill,29,3.9
,,,,
258,Mordialloc College,Mordialloc,29,3.9
,,,,
259,Salesian College,Sunbury,29,3.9
,,,,
260,Ballarat High School,Ballarat,29,3.8
,,,,
261,Bayside Christian College,Langwarrin South,29,3.8
,,,,
262,Berwick Secondary College,Berwick,29,3.8
,,,,
263,St Helena Secondary College,Eltham,29,3.8
,,,,
264,McClelland Secondary College,Frankston,29,3.5
,,,,
265,Oberon High School,Belmont,29,3.3
,,,,
266,Victory Lutheran College,Wodonga,29,3.2
,,,,
267,Nagle College,Bairnsdale,29,3.1
,,,,
268,Epping Secondary College,Epping,29,3
,,,,
269,Flinders Christian Community College Carrum Downs,Carrum Downs,29,3
,,,,
270,Lakeview Senior College,Caroline Springs,29,2.9
,,,,
271,Maribyrnong Secondary College,Maribyrnong,29,2.9
,,,,
272,Sunshine College,Sunshine,29,2.8
,,,,
273,Rosehill Secondary College,Niddrie,29,2.7
,,,,
274,Lilydale High School,Lilydale,29,2.5
,,,,
275,Mount Lilydale Mercy College,Lilydale,29,1.8
,,,,
276,St Mary of the Angels College,Nathalia,29,0.7
,,,,
277,Cann River P-12 College,Cann River,29,0
,,,,
278,Hazel Glen College,Doreen,29,0
,,,,
279,Neerim District Secondary College,Neerim South,29,0
,,,,
280,South Oakleigh Secondary College,Oakleigh South,28,7.5
,,,,
281,Victory Christian College,Strathdale,28,6.6
,,,,
282,Gilson College Mernda Campus,Mernda,28,6.5
,,,,
283,Emmanuel College Warrnambool,Warrnambool,28,5.7
,,,,
284,Mount Eliza Secondary College,Mount Eliza,28,5.4
,,,,
285,Warracknabeal Secondary College,Warracknabeal,28,5.3
,,,,
286,Belmont High School,Belmont,28,4.9
,,,,
287,Hoppers Crossing Secondary College,Hoppers Crossing,28,4.9
,,,,
288,Lavalla Catholic College,Traralgon,28,4.9
,,,,
289,Mooroolbark College,Mooroolbark,28,4.9
,,,,
290,Castlemaine Secondary College,Castlemaine,28,4.6
,,,,
291,Islamic College of Melbourne,Tarneit,28,4.5
,,,,
292,Koo Wee Rup Secondary College,Koo Wee Rup,28,4.4
,,,,
293,Horsham College,Horsham,28,4.3
,,,,
294,Sacred Heart College Yarrawonga,Yarrawonga,28,4.3
,,,,
295,Bentleigh Secondary College,Bentleigh East,28,4.1
,,,,
296,Fitzroy High School,Fitzroy North,28,3.9
,,,,
297,St Josephs College Echuca,Echuca,28,3.9
,,,,
298,Damascus College,Mount Clear,28,3.7
,,,,
299,Diamond Valley College,Diamond Creek,28,3.7
,,,,
300,Notre Dame College,Shepparton,28,3.6
,,,,
301,Assumption College,Kilmore,28,3.5
,,,,
302,Marist College Bendigo,Maiden Gully,28,3.5
,,,,
303,Mary MacKillop Catholic College,Leongatha,28,3.5
,,,,
304,Alkira Secondary College,Cranbourne North,28,3.4
,,,,
305,Melba Secondary College,Croydon,28,3.4
,,,,
306,Trinity College,Colac,28,3.4
,,,,
307,Healesville High School,Healesville,28,3.1
,,,,
308,Alexandra Secondary College,Alexandra,28,3
,,,,
309,Heritage College,Officer,28,3
,,,,
310,Murtoa P-12 College,Murtoa,28,3
,,,,
311,Drouin Secondary College,Drouin,28,2.9
,,,,
312,Catholic College Wodonga,Wodonga,28,2.8
,,,,
313,Gladstone Park Secondary College,Gladstone Park,28,2.8
,,,,
314,Virtual School Victoria,Thornbury,28,2.8
,,,,
315,Bayside College Paisley Campus,Newport,28,2.7
,,,,
316,Bright P-12 College,Bright,28,2.7
,,,,
317,Caroline Chisholm Catholic College,Braybrook,28,2.6
,,,,
318,Penola Catholic College,Broadmeadows,28,2.6
,,,,
319,Geelong Lutheran College,Armstrong Creek,28,2.5
,,,,
