tl_dntl_prctns_inclds_dnts_orl_hlt_thrps_hygnst_prsth_2018_pltn, midwives_may_also_registered_nurse_enrolled_2018_population_erp, tl_dntl_prctns_inclds_dnts_orl_hlt_thrps_hygnst_prsth_2018_rte, total_registered_nurses_2018_population_erp, ttl_nrss_rgstrd_enrlld_mdwvs_prsn_cntd_2018_ppltn_erp, unknwnnt_applcble_mdcl_prcttnrs_2018_rte_pr_100000_pple, lga_name, registered_nurses_who_are_also_midwives_2018_population_erp, unknownnot_applicable_medical_practitioners_2018_number, total_medical_practitioners_2018_population_erp, total_medical_practitioners_2018_number, spclst_prcttnrs_rprtd_excldng_gps_2018_rte_pr_100000_pple, enrolled_nurses_2018_number, ttl_nrss_rgstrd_enrlld_mdwvs_prsn_cntd_2018_nmbr, mdwvs_my_also_rgstrd_nrse_enrlld_2018_rte_pr_100000_pple, ttl_nrss_rgstrd_enrlld_mdwvs_prsn_cntd_2018_rte_pr_100000_pple, total_registered_nurses_2018_rate_per_100000_people, registered_nurses_who_are_also_midwives_2018_number, tl_dntl_prctns_inclds_dnts_orl_hlt_thrps_hygnst_prsth_2018_nmbr, dentists_2018_rate_per_100000_people, enrolled_nurses_2018_rate_per_100000_people, general_medical_practitioners_2018_number, total_registered_nurses_2018_number, general_medical_practitioners_2018_rate_per_100000_people, registered_nurses_only_2018_number, registered_nurses_only_2018_population_erp, total_medical_practitioners_2018_rate_per_100000_people, dentists_2018_population_erp, dentists_2018_number, registered_nurses_only_2018_rate_per_100000_people, spclst_prcttnrs_rprtd_excldng_gps_2018_ppltn_erp, lga_code, specialist_practitioners_as_reported_excluding_gps_2018_number, general_medical_practitioners_2018_population_erp, midwives_may_also_registered_nurse_enrolled_nurse_2018_number, registered_nurses_also_midwives_2018_rate_per_100000_people, unknownnot_applicable_medical_practitioners_2018_population_erp, enrolled_nurses_2018_population_erp
null,12730.0,null,12730.0,12730.0,70.6991358994501,"Alpine (S)",12730.0,9.0,12730.0,20.0,null,61.0,204.0,70.6991358994501,1602.5137470542,1131.1861743912,9.0,null,null,479.183032207384,11.0,144.0,86.4100549882168,135.0,12730.0,157.109190887667,null,null,1060.48703849175,null,20110,null,12730.0,9.0,70.6991358994501,12730.0,12730.0
11795.0,11795.0,76.303518440017,11795.0,11795.0,59.3471810089021,"Ararat (RC)",11795.0,7.0,11795.0,15.0,null,64.0,238.0,152.607036880034,2017.80415430267,1475.20135650699,18.0,9.0,50.8690122933446,542.602797795676,7.0,174.0,59.3471810089021,156.0,11795.0,127.172530733362,11795.0,6.0,1322.59431962696,null,20260,null,11795.0,18.0,152.607036880034,11795.0,11795.0
107325.0,107325.0,86.6526904262753,107325.0,107325.0,179.827626368507,"Ballarat (C)",107325.0,193.0,107325.0,512.0,210.575355229443,469.0,2542.0,183.554623806196,2368.50687165153,1919.40368040997,184.0,93.0,65.2224551595621,436.990449569066,93.0,2060.0,86.6526904262753,1876.0,107325.0,477.055672024226,107325.0,70.0,1747.96179827626,107325.0,20570,226.0,107325.0,197.0,171.441882133706,107325.0,107325.0
130237.0,130237.0,116.710305059238,130237.0,130237.0,444.574122561177,"Banyule (C)",130237.0,579.0,130237.0,1402.0,521.357217994886,623.0,5116.0,436.895813017806,3928.22316238857,3363.8674109508,457.0,152.0,85.9970668857544,478.358684552009,144.0,4381.0,110.567657424541,3924.0,130237.0,1076.4989979806,130237.0,112.0,3012.96866481875,130237.0,20660,679.0,130237.0,569.0,350.898746132052,130237.0,130237.0
35327.0,35327.0,50.9525292269369,35327.0,35327.0,118.889234862853,"Bass Coast (S)",35327.0,42.0,35327.0,72.0,19.8148724771421,112.0,409.0,93.4129702493843,1157.75469187873,832.224644039969,30.0,18.0,39.6297449542843,317.037959634274,23.0,294.0,65.1060095677527,264.0,35327.0,203.810116907748,35327.0,14.0,747.303761995075,35327.0,20740,7.0,35327.0,33.0,84.9208820448948,35327.0,35327.0
52015.0,52015.0,57.6756704796693,52015.0,52015.0,142.266653849851,"Baw Baw (S)",52015.0,74.0,52015.0,135.0,48.0630587330578,161.0,675.0,155.724310295107,1297.70258579256,982.408920503701,77.0,30.0,42.2954916850908,309.526098240892,36.0,511.0,69.2108045756032,434.0,52015.0,259.540517158512,52015.0,22.0,834.374699605883,52015.0,20830,25.0,52015.0,81.0,148.034220897818,52015.0,52015.0
105718.0,105718.0,109.725874496301,105718.0,105718.0,67.1598024934259,"Bayside (C)",105718.0,71.0,105718.0,347.0,104.996310940426,193.0,1166.0,121.076827030402,1102.93422123006,886.320210370987,93.0,116.0,82.2944058722261,182.561153256777,165.0,937.0,156.075597343877,844.0,105718.0,328.231710777729,105718.0,87.0,798.350328231711,105718.0,20910,111.0,105718.0,128.0,87.9698821392762,105718.0,105718.0
14024.0,14024.0,28.5225328009127,14024.0,14024.0,85.5675984027382,"Benalla (RC)",14024.0,12.0,14024.0,28.0,null,76.0,213.0,106.959498003423,1518.8248716486,969.766115231033,15.0,4.0,null,541.928123217342,14.0,136.0,99.8288648031945,121.0,14024.0,199.657729606389,null,null,862.80661722761,null,21010,null,14024.0,15.0,106.959498003423,14024.0,14024.0
181289.0,181289.0,147.278654523992,181289.0,181289.0,69.5022864045805,"Boroondara (C)",181289.0,126.0,181289.0,664.0,156.104341686478,454.0,1996.0,36.9575649929119,1101.00447352018,848.920783941662,64.0,267.0,119.698382141222,250.428873235552,255.0,1539.0,140.659389152127,1475.0,181289.0,366.266017243186,181289.0,217.0,813.618035291717,181289.0,21110,283.0,181289.0,67.0,35.3027486499457,181289.0,181289.0
208714.0,208714.0,45.5168316452179,208714.0,208714.0,135.113121304752,"Brimbank (C)",208714.0,282.0,208714.0,617.0,78.0973006123212,346.0,2374.0,158.111099399178,1137.44166658681,905.545387468018,192.0,95.0,34.9760916852727,165.77709209732,172.0,1890.0,82.409421505026,1698.0,208714.0,295.619843422099,208714.0,73.0,813.553475090315,208714.0,21180,163.0,208714.0,330.0,91.9919123777035,208714.0,208714.0
null,6184.0,null,6184.0,6184.0,null,"Buloke (S)",6184.0,null,6184.0,7.0,null,57.0,143.0,64.6830530401035,2312.4191461837,1423.02716688228,4.0,null,null,921.733505821475,5.0,88.0,80.8538163001294,84.0,6184.0,113.195342820181,null,null,1358.34411384217,null,21270,null,6184.0,4.0,64.6830530401035,null,6184.0
37592.0,37592.0,50.5426686529049,37592.0,37592.0,93.1049159395616,"Campaspe (S)",37592.0,35.0,37592.0,81.0,21.2811236433284,247.0,722.0,162.268567780379,1920.62140881039,1268.88699723345,61.0,19.0,29.2615450095765,657.054692487763,38.0,477.0,101.08533730581,416.0,37592.0,215.4713768887,37592.0,11.0,1106.61842945308,37592.0,21370,8.0,37592.0,61.0,162.268567780379,37592.0,37592.0
107120.0,107120.0,33.6071695294996,107120.0,107120.0,35.4742345033607,"Cardinia (S)",107120.0,38.0,107120.0,121.0,5.60119492158327,168.0,365.0,28.0059746079164,340.739357729649,182.972367438387,30.0,36.0,28.0059746079164,156.833457804332,77.0,196.0,71.882001493652,166.0,107120.0,112.957430918596,107120.0,30.0,154.966392830471,107120.0,21450,6.0,107120.0,30.0,28.0059746079164,107120.0,107120.0
340419.0,340419.0,44.0633454654411,340419.0,340419.0,72.2638865633234,"Casey (C)",340419.0,246.0,340419.0,606.0,34.9569207359166,581.0,2181.0,65.8012625617254,640.681043067514,455.321236476225,175.0,150.0,37.8944771002794,170.672024769475,241.0,1550.0,70.7951083811421,1375.0,340419.0,178.015915680382,340419.0,129.0,403.914000099877,340419.0,21610,119.0,340419.0,224.0,51.407236376348,340419.0,340419.0
13209.0,13209.0,68.1353622530093,13209.0,13209.0,37.8529790294496,"Central Goldfields (S)",13209.0,5.0,13209.0,14.0,null,95.0,245.0,158.982511923688,1854.79597244303,1135.58937088349,21.0,9.0,60.5647664471194,719.206601559543,9.0,150.0,68.1353622530093,129.0,13209.0,105.988341282459,13209.0,8.0,976.6068589598,null,21670,null,13209.0,21.0,158.982511923688,13209.0,13209.0
21503.0,21503.0,55.8061665814072,21503.0,21503.0,120.913360926382,"Colac-Otway (S)",21503.0,26.0,21503.0,43.0,null,91.0,332.0,167.418499744222,1543.97060875227,1116.12333162814,36.0,12.0,37.2041110542715,423.196763242338,15.0,240.0,69.757708226759,204.0,21503.0,199.972096916709,21503.0,8.0,948.704831883923,null,21750,null,21503.0,36.0,167.418499744222,21503.0,21503.0
null,16140.0,null,16140.0,16140.0,61.9578686493185,"Corangamite (S)",16140.0,10.0,16140.0,22.0,null,108.0,263.0,173.482032218092,1629.49194547708,960.346964064436,28.0,null,null,669.144981412639,11.0,155.0,68.1536555142503,127.0,16140.0,136.307311028501,null,null,786.864931846344,null,21830,null,16140.0,28.0,173.482032218092,16140.0,16140.0
161609.0,161609.0,52.5960806638244,161609.0,161609.0,26.6074290416994,"Darebin (C)",161609.0,43.0,161609.0,185.0,21.6572096851042,146.0,580.0,29.7013161395714,358.890903353155,265.45551299742,43.0,85.0,42.0768645310595,90.3415032578631,107.0,429.0,66.2091838944613,386.0,161609.0,114.473822621265,161609.0,68.0,238.84808395572,161609.0,21890,35.0,161609.0,48.0,26.6074290416994,161609.0,161609.0
46818.0,46818.0,49.1264043743859,46818.0,46818.0,89.7090862488786,"East Gippsland (S)",46818.0,42.0,46818.0,99.0,19.2233756247597,190.0,631.0,106.796531248665,1347.77222435815,935.537613738306,47.0,23.0,36.3108206245461,405.826818744927,48.0,438.0,102.524669998718,391.0,46818.0,211.457131872357,46818.0,17.0,835.148874364561,46818.0,22110,9.0,46818.0,50.0,100.388739373745,46818.0,46818.0
141845.0,141845.0,58.5145757693257,141845.0,141845.0,219.253410412774,"Frankston (C)",141845.0,311.0,141845.0,731.0,193.87359441644,599.0,3135.0,174.133737530403,2210.15897634742,1745.56734463675,182.0,83.0,46.5296626599457,422.291938383447,145.0,2476.0,102.224258874123,2294.0,141845.0,515.351263703338,141845.0,66.0,1617.25827487751,141845.0,22170,275.0,141845.0,247.0,128.309069759244,141845.0,141845.0
null,10547.0,null,10547.0,10547.0,null,"Gannawarra (S)",10547.0,null,10547.0,10.0,null,72.0,174.0,237.034227742486,1649.7582250877,967.099649189343,25.0,null,null,682.65857589836,8.0,102.0,75.8509528775955,77.0,10547.0,94.8136910969944,null,null,730.065421446857,null,22250,null,10547.0,25.0,237.034227742486,null,10547.0
153858.0,153858.0,94.8926932626188,153858.0,153858.0,76.0441446008657,"Glen Eira (C)",153858.0,117.0,153858.0,430.0,102.042142755008,303.0,1591.0,30.547647831117,1034.070376581,835.185690701816,44.0,146.0,67.5947952007695,196.934836017627,156.0,1285.0,101.392192801154,1241.0,153858.0,279.478480157028,153858.0,104.0,806.58789273226,153858.0,22310,157.0,153858.0,47.0,28.5977979695563,153858.0,153858.0
19665.0,19665.0,50.8517670989067,19665.0,19665.0,111.873887617595,"Glenelg (S)",19665.0,22.0,19665.0,40.0,35.5962369692347,119.0,355.0,132.214594457157,1805.23773201119,1174.67581998474,21.0,10.0,30.511060259344,605.13602847699,11.0,231.0,55.9369438087974,210.0,19665.0,203.407068395627,19665.0,6.0,1067.88710907704,19665.0,22410,7.0,19665.0,26.0,106.788710907704,19665.0,19665.0
null,23120.0,null,23120.0,23120.0,30.2768166089965,"Golden Plains (S)",23120.0,7.0,23120.0,17.0,null,15.0,54.0,34.6020761245675,233.56401384083,164.359861591696,8.0,null,null,64.878892733564,10.0,38.0,43.2525951557093,30.0,23120.0,73.5294117647059,null,null,129.757785467128,null,22490,null,23120.0,8.0,34.6020761245675,23120.0,23120.0
116045.0,116045.0,85.3117325175578,116045.0,116045.0,186.134689129217,"Greater Bendigo (C)",116045.0,216.0,116045.0,477.0,142.186220862596,519.0,2522.0,180.96428109785,2173.29484251799,1718.29893575768,199.0,99.0,53.4275496574605,447.240294713258,96.0,1994.0,82.7265285018743,1795.0,116045.0,411.047438493688,116045.0,62.0,1546.81373605067,116045.0,22620,165.0,116045.0,210.0,171.48519970701,116045.0,116045.0
166094.0,166094.0,73.4523823858779,166094.0,166094.0,151.119245728323,"Greater Dandenong (C)",166094.0,251.0,166094.0,610.0,129.444772237408,497.0,2563.0,142.690283815189,1543.10209881152,1212.56637807507,184.0,122.0,59.6048021000157,299.22814791624,144.0,2014.0,86.6978939636591,1830.0,166094.0,367.261911929389,166094.0,99.0,1101.78573578817,166094.0,22670,215.0,166094.0,237.0,110.780642286898,166094.0,166094.0
252217.0,252217.0,76.1249241724388,252217.0,252217.0,182.382630829801,"Greater Geelong (C)",252217.0,460.0,252217.0,1148.0,175.245919188635,918.0,4828.0,142.734232823323,1914.22465575278,1535.58245479091,324.0,192.0,52.7323693486165,363.972293699473,246.0,3873.0,97.5350590959372,3549.0,252217.0,455.163609114374,252217.0,133.0,1407.12164524992,252217.0,22750,442.0,252217.0,360.0,128.460809540991,252217.0,252217.0
66007.0,66007.0,75.7495417152726,66007.0,66007.0,212.098716802763,"Greater Shepparton (C)",66007.0,140.0,66007.0,295.0,146.954110927629,401.0,1362.0,171.193964276516,2063.41751632403,1443.7862650931,105.0,50.0,53.0246792006908,607.511324556486,58.0,953.0,87.8694683897162,848.0,66007.0,446.922296120109,66007.0,35.0,1284.71222749102,66007.0,22830,97.0,66007.0,113.0,159.074037602073,66007.0,66007.0
null,15812.0,null,15812.0,15812.0,94.864659752087,"Hepburn (S)",15812.0,15.0,15812.0,29.0,null,86.0,209.0,25.2972426005565,1321.78092587908,771.565899316974,4.0,null,null,543.890715911966,14.0,122.0,88.5403491019479,118.0,15812.0,183.405008854035,null,null,746.268656716418,null,22910,null,15812.0,4.0,25.2972426005565,15812.0,15812.0
null,null,null,5645.0,5645.0,70.859167404783,"Hindmarsh (S)",null,4.0,5645.0,5.0,null,69.0,147.0,null,2604.07440212578,1381.75376439327,null,null,null,1222.32063773251,null,78.0,null,75.0,5645.0,88.5739592559787,null,null,1328.60938883968,null,22980,null,null,null,null,5645.0,5645.0
96470.0,96470.0,47.683217580595,96470.0,96470.0,57.0125427594071,"Hobsons Bay (C)",96470.0,55.0,96470.0,159.0,24.8782004768322,162.0,568.0,25.9147921633669,588.784077951695,419.819633046543,22.0,46.0,42.5002591479216,167.927853218617,80.0,405.0,82.9273349227739,383.0,96470.0,164.818078159013,96470.0,41.0,397.01461594278,96470.0,23110,24.0,96470.0,25.0,22.8050171037628,96470.0,96470.0
19875.0,19875.0,75.4716981132075,19875.0,19875.0,125.786163522013,"Horsham (RC)",19875.0,25.0,19875.0,49.0,50.314465408805,127.0,487.0,231.446540880503,2450.31446540881,1811.32075471698,46.0,15.0,45.2830188679245,638.993710691824,14.0,360.0,70.440251572327,314.0,19875.0,246.540880503145,19875.0,9.0,1579.87421383648,19875.0,23190,10.0,19875.0,46.0,231.446540880503,19875.0,19875.0
224394.0,224394.0,44.5644714208045,224394.0,224394.0,52.1404315623412,"Hume (C)",224394.0,117.0,224394.0,296.0,16.9344991399057,242.0,898.0,23.1735251388183,400.188953358824,291.005998377853,49.0,100.0,35.2059324224355,107.846020838347,141.0,653.0,62.8359047033343,604.0,224394.0,131.910835405581,224394.0,79.0,269.169407381659,224394.0,23270,38.0,224394.0,52.0,21.8365909961942,224394.0,224394.0
null,16490.0,null,16490.0,16490.0,42.4499696785931,"Indigo (S)",16490.0,7.0,16490.0,18.0,null,98.0,197.0,66.7070952092177,1194.66343238326,600.363856882959,11.0,null,null,594.299575500303,11.0,99.0,66.7070952092177,88.0,16490.0,109.157064887811,null,null,533.656761673742,null,23350,null,16490.0,11.0,66.7070952092177,16490.0,16490.0
163431.0,163431.0,72.2017242750763,163431.0,163431.0,56.2928697737883,"Kingston (C) (Vic.)",163431.0,92.0,163431.0,282.0,48.9503215424246,397.0,1320.0,28.1464348868942,807.680305450006,564.152455776444,43.0,118.0,58.1285068316292,242.915970654282,110.0,922.0,67.3066921208339,879.0,163431.0,172.549883437047,163431.0,95.0,537.841657947391,163431.0,23430,80.0,163431.0,46.0,26.3107978290532,163431.0,163431.0
163203.0,163203.0,84.5572691678462,163203.0,163203.0,92.5228090169911,"Knox (C)",163203.0,151.0,163203.0,433.0,86.395470671495,459.0,2015.0,123.159500744472,1234.65867661746,930.129960846308,160.0,138.0,64.337052627709,281.244830058271,141.0,1518.0,86.395470671495,1358.0,163203.0,265.313750359981,163203.0,105.0,832.09254731837,163203.0,23670,141.0,163203.0,201.0,98.0374135279376,163203.0,163203.0
